id,income,goal_type,goal_amount,duration_months,recommended_monthly_saving
779,35391,housing,27573,33,919.1
780,35812,start_business,131598,31,4669.61
781,40898,start_business,197412,31,7004.94
782,8981,housing,129562,27,4318.73
783,37164,start_business,168582,17,10908.25
784,29236,health,90795,18,5044.17
785,28864,start_business,56522,30,1884.07
786,16723,health,120359,10,12035.9
787,16747,family_support,16860,27,624.44
788,16852,family_support,137237,20,6861.85
789,37338,health,169710,26,7180.04
790,7693,education,81895,14,5264.68
791,43019,family_support,109737,13,9285.44
792,27891,education,14987,28,535.25
793,22106,housing,103998,34,3058.76
794,5571,housing,102821,6,15423.15
795,36531,education,36969,17,2392.11
796,13870,housing,14325,19,753.95
797,12149,start_business,152492,28,5446.14
798,12222,housing,28622,6,4770.33
799,34417,education,191954,15,14076.63
800,37966,start_business,159242,14,12511.87
801,9507,family_support,127585,23,4992.46
802,39882,health,186131,18,11374.67
803,18092,housing,23558,6,3926.33
804,36365,health,101835,31,3613.5
805,6640,start_business,97401,21,4174.33
806,35568,housing,25674,36,784.48
807,40163,family_support,190403,22,9520.15
808,37563,start_business,171857,22,8592.85
809,19915,family_support,101296,10,10129.6
810,7447,housing,126267,24,4735.01
811,44316,housing,108907,10,11979.77
812,42282,start_business,12963,8,1782.41
813,43035,start_business,63091,32,2168.75
814,9501,family_support,20146,35,518.04
815,16150,education,14654,33,444.06
816,10479,education,111885,25,4475.4
817,23988,education,72881,9,8097.89
818,28083,start_business,29365,29,1012.59
819,32138,start_business,36057,8,4957.84
820,12072,start_business,126844,31,4091.74
821,40344,health,17394,22,869.7
822,43141,health,181206,6,33221.1
823,8501,start_business,68668,32,1931.29
824,22752,health,50254,8,6281.75
825,10960,start_business,130640,16,8165
826,18199,start_business,151636,27,5616.15
827,33114,start_business,56076,31,1989.79
828,29281,housing,101073,7,14439
829,36400,start_business,96230,25,4234.12
830,45451,education,161499,22,8074.95
831,21419,housing,123987,19,6525.63
832,22263,housing,46571,21,2217.67
833,5211,education,65288,35,1678.83
834,33134,family_support,131196,19,7595.56
835,42091,start_business,124629,30,4569.73
836,28975,health,179921,7,25703
837,38953,start_business,141572,27,5767.75
838,41962,start_business,123710,12,11340.08
839,26036,start_business,70946,10,7094.6
840,47363,education,34051,22,1702.55
841,30985,start_business,112387,25,4945.03
842,5707,education,111472,36,2786.8
843,28821,start_business,106624,34,3136
844,44209,family_support,48066,33,1602.2
845,49757,housing,33478,35,1052.17
846,46650,education,20520,23,981.39
847,40808,education,117410,6,21525.17
848,13077,health,190357,15,12690.47
849,30834,start_business,193320,11,19332
850,38627,education,141533,33,4717.77
851,24980,family_support,132743,23,5771.43
852,37347,family_support,158391,10,17423.01
853,46600,education,197664,6,36238.4
854,26438,education,51169,13,3936.08
855,15445,start_business,82546,19,4344.53
856,16957,health,196985,28,7035.18
857,37383,education,92451,26,3911.39
858,45862,housing,11986,11,1198.6
859,33486,family_support,156366,17,10117.8
860,10953,education,33305,17,1959.12
861,47999,housing,179324,17,11603.32
862,14842,housing,160297,6,26716.17
863,49869,housing,37996,30,1393.19
864,47714,health,174859,19,10123.42
865,37363,education,46706,32,1605.52
866,31632,housing,155248,35,4879.22
867,48514,health,20588,17,1332.16
868,37323,health,55732,23,2665.44
869,11855,housing,95176,20,4758.8
870,25638,family_support,170694,29,5886
871,14592,start_business,27687,28,988.82
872,16232,family_support,192345,20,9617.25
873,48571,health,67864,17,4391.2
874,5683,housing,38348,11,3137.56
875,12101,family_support,197601,6,32933.5
876,10350,housing,136154,16,8509.62
877,26248,housing,29690,17,1746.47
878,13308,education,109442,27,4053.41
879,32870,family_support,49838,9,6091.31
880,5424,health,90386,34,2392.57
881,18188,education,13864,17,815.53
882,43396,family_support,76499,16,5259.31
883,15479,family_support,112646,10,11264.6
884,23645,family_support,26835,17,1578.53
885,37326,education,153936,6,28221.6
886,19236,education,54818,30,1827.27
887,37757,family_support,159959,12,14662.91
888,26585,housing,60392,12,5032.67
889,8536,education,54603,35,1404.08
890,45486,family_support,87498,15,6416.52
891,24031,start_business,79628,7,11375.43
892,49315,family_support,72889,24,3340.75
893,40853,education,177450,18,10844.17
894,34019,family_support,49523,13,4190.41
895,17091,housing,70385,19,3704.47
896,33891,start_business,89323,8,12281.91
897,48548,start_business,17805,31,631.79
898,26517,family_support,40424,8,5053
899,11973,health,183113,33,5548.88
900,32972,start_business,182267,9,22277.08
901,31370,education,170064,8,23383.8
902,23627,start_business,66544,13,5118.77
903,21941,start_business,53429,33,1619.06
904,42801,health,190312,25,8373.73
905,26522,education,101527,20,5076.35
906,40696,start_business,21793,28,856.15
907,42708,start_business,16108,31,571.57
908,10650,education,75053,31,2421.06
909,46154,education,162981,22,8149.05
910,11544,start_business,106328,22,4833.09
911,29033,education,50675,7,7239.29
912,6965,education,158653,11,12980.7
913,20973,education,135719,34,3991.74
914,22025,health,68423,36,1900.64
915,33865,family_support,151141,9,18472.79
916,14741,start_business,163313,11,14846.64
917,47303,start_business,49900,25,2195.6
918,9695,health,50391,36,1259.78
919,31310,family_support,14159,11,1415.9
920,11737,health,94211,24,3925.46
921,25775,family_support,56615,18,3145.28
922,18968,education,74300,34,2185.29
923,38965,housing,77616,25,3415.1
924,8965,start_business,165449,16,9306.51
925,44573,housing,71888,36,2196.58
926,49919,housing,58283,18,3561.74
927,25154,health,170339,34,5009.97
928,47929,housing,118099,32,4059.65
929,11779,housing,165818,13,12755.23
930,46542,education,143016,6,26219.6
931,23170,start_business,21552,18,1197.33
932,24418,family_support,133391,31,4302.94
933,15517,family_support,143633,28,5129.75
934,38362,housing,180323,31,6398.56
935,11042,health,199016,6,33169.33
936,28728,start_business,158111,34,4650.32
937,49537,education,177437,27,7228.91
938,47164,housing,167242,14,13140.44
939,18402,housing,124547,35,3558.49
940,43174,health,179579,18,10974.27
941,21952,education,196154,15,13076.93
942,39041,education,43218,17,2796.46
943,24032,start_business,50027,24,2084.46
944,36958,education,73289,18,4478.77
945,37086,education,164259,22,8212.95
946,14500,housing,82252,30,2741.73
947,20841,education,76586,34,2252.53
948,20960,start_business,42655,20,2132.75
949,48377,family_support,18788,10,2066.68
950,19247,family_support,118170,23,5137.83
951,5391,family_support,37559,10,3380.31
952,19350,family_support,133568,18,7420.44
953,14038,health,143368,13,11028.31
954,12043,housing,154635,28,5522.68
955,30148,education,32013,15,2347.62
956,37525,housing,197667,24,9059.74
957,33581,family_support,131431,26,5560.54
958,32671,family_support,129913,6,23817.38
959,41338,family_support,13244,24,607.02
960,33536,start_business,69733,27,2840.97
961,31809,health,10715,9,1309.61
962,36543,health,42466,9,5190.29
963,39284,housing,167200,22,8360
964,44224,education,149428,21,7827.18
965,26125,housing,188836,20,9441.8
966,31196,education,176834,9,21613.04
967,15925,housing,39637,29,1366.79
968,22734,health,85797,13,6599.77
969,39099,health,41169,32,1415.18
970,25710,family_support,172222,36,4783.94
971,31297,family_support,82244,31,2918.34
972,36650,start_business,122271,19,7078.85
973,39222,health,45809,22,2290.45
974,14695,start_business,175951,9,19550.11
975,31909,education,181202,35,5694.92
976,25262,family_support,92511,6,15418.5
977,27388,housing,159230,23,6923.04
978,36965,start_business,40643,18,2483.74
979,27016,start_business,187039,33,5667.85
980,34258,health,173526,8,23859.83
981,48289,start_business,189163,27,7706.64
982,46792,family_support,199937,34,6468.55
983,39795,housing,79438,15,5825.45
984,25883,housing,27644,7,3949.14
985,29489,health,21339,14,1524.21
986,19032,family_support,66768,16,4173
987,5434,housing,73764,14,4741.97
988,45949,housing,63291,29,2400.69
989,43485,education,20759,20,1141.75
990,43857,family_support,28462,16,1956.76
991,49202,health,101575,30,3724.42
992,39428,housing,40516,13,3428.28
993,42153,start_business,159122,7,25004.89
994,48737,education,191653,25,8432.73
995,17463,education,71198,20,3559.9
996,11118,education,175587,12,14632.25
997,45958,family_support,30141,33,1004.7
998,32953,family_support,69038,6,12656.97
999,20437,education,66270,25,2650.8
1000,13104,education,10505,32,328.28
