Scheme Name,DBT,Economic Distress,Description,Apply Link,min_age,max_age,caste_sc,caste_st,caste_obc,caste_ews,caste_general,caste_bc,caste_sebc,caste_vjnt,caste_sbc,caste_minority,caste_parsi,caste_all,is_farmer,is_student,is_disabled,is_widow,is_pregnant,is_unorganized_worker,is_entrepreneur,is_woman,is_artist,is_exservicemen,is_government,is_orphan,is_elderly,is_journalist,is_ews,is_low_income,income_upper_limit,income_category,sub_categories,primary_category,Residence_Cleaned,Minority_Type,Minority_Cleaned,Disability_Type,Disability_Cleaned,Benefit_Category,Marital_Status_Clean,BPL_Clean,Employment_Status_Clean,Application_Mode_Clean,Scheme_Type_Clean,Location_Clean
Scheme for Upliftment of Utsavi Rangabhumi of Goa,No,No,Cultural promotion of traditional village theatre in Goa,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Unspecified,['Culture'],Culture,Goa,Unknown,Unknown,None,No,Financial,All,Unknown,Employed,Not Specified,State,Goa
Swahid Kushal Konwar Sarbajanin Briddha Pension Achoni,Yes,Yes,Old-age pension scheme launched in 2018,N/A,58,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Assam,Unknown,Unknown,None,No,Pension,All,Unknown,Retired,Not Specified,State,Assam
Junior Merit (Class 11–12) e-Medhabruti,Yes,Yes,Scholarship for meritorious higher secondary students,N/A,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,EWS,['Education'],Education,Odisha,Unknown,Unknown,None,No,Composite / Multi,All,Unknown,Student,Not Specified,State,Odisha
Mizoram Research Fellowship,No,No,Fellowship for researchers and teachers in Mizoram,N/A,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Mizoram,Unknown,Unknown,None,No,Fellowship,All,Unknown,Employed,Not Specified,State,Mizoram
Jagananna Amma Vodi,Yes,Yes,Financial support to mothers for school-going children,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,BPL,"['Social Welfare', 'Education']",Social Welfare,Andhra Pradesh,Unknown,Unknown,None,No,Financial,Married,Yes,Student,Not Specified,State,Andhra Pradesh
Akanksha Scheme,No,Yes,Coaching for ST students for national entrance exams,N/A,18,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Madhya Pradesh,Unknown,Unknown,None,No,Other,All,Unknown,Student,Not Specified,State,Madhya Pradesh
Financial Assistance to Visually Challenged Teachers,No,Yes,Reader & equipment allowance for visually impaired teachers,N/A,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Disability', 'Education']",Disability,All India,Unknown,Unknown,Unspecified,Yes,Other,All,Unknown,Employed,Not Specified,Central,India
Development of Playfield under CMSGUY,No,No,Development of 500 football playfields in Assam,N/A,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Youth & Sports', 'Infrastructure']",Youth & Sports,Assam,Unknown,Unknown,None,No,Other,All,Unknown,Other,Not Specified,State,Assam
Farmer Suicide Ex-Gratia,Yes,Yes,Aid to families of farmers who committed suicide,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Andhra Pradesh,Unknown,Unknown,None,No,Financial,All,Unknown,Other,Not Specified,State,Andhra Pradesh
Double Bedroom Housing Scheme (2BHK Scheme),No,Yes,Two-bedroom houses for poor families,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Housing'],Housing,Telangana,Unknown,Unknown,None,No,Housing,All,Yes,Unemployed,Not Specified,State,Telangana
Chief Minister's State Disability Pension Scheme,Yes,Yes,₹1000/month pension to disabled persons,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Disability', 'Social Welfare']",Disability,Sikkim,Unknown,Unknown,Unspecified,Yes,Pension,All,Yes,Disabled,Not Specified,State,Sikkim
Rajasthan CM Relief Fund – Accident Assistance,No,Yes,"₹1L for death, ₹20K for serious injury",N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Rajasthan,Unknown,Unknown,Unknown,Unknown,Other,All,Unknown,Other,Not Specified,State,Rajasthan
YSR Law Nestham,Yes,Yes,Stipend for junior advocates passed since 2016,N/A,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Andhra Pradesh,Unknown,Unknown,None,No,Scholarship,Single,Unknown,Employed,Not Specified,State,Andhra Pradesh
Stipends to Trainees in ITI,No,Yes,Stipend for SC ITI trainees,N/A,18,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Maharashtra,Unknown,Unknown,None,No,Scholarship,All,Unknown,Student,Not Specified,State,Maharashtra
Pension Yojana (JBOCWWB),Yes,Yes,Pension for long-term contributing workers,N/A,58,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Jharkhand,Unknown,Unknown,None,No,Pension,All,Unknown,Retired,Not Specified,State,Jharkhand
Rupashree Prakalpa,Yes,Yes,"₹25,000 for marriage of girls from poor families",N/A,21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,West Bengal,Unknown,Unknown,None,No,Financial,Single,Yes,Unemployed,Not Specified,State,West Bengal
Border Areas Scholarship,Yes,Yes,Scholarships for border area students pursuing higher studies,N/A,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Meghalaya,Unknown,Unknown,None,No,Scholarship,All,Unknown,Student,Not Specified,State,Meghalaya
Film Finance Scheme,No,Yes,Funds for producing quality films in Assam,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Culture'],Culture,Assam,Unknown,Unknown,None,No,Financial,All,Unknown,Self-Employed,Not Specified,State,Assam
Financial Assistance for Setting up Crab Culture Unit,No,Yes,Subsidy for setting up crab farming units,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Goa,Unknown,Unknown,None,No,Subsidy,All,Unknown,Self-Employed,Not Specified,State,Goa
Incentive to Widow’s Remarriage,No,Yes,Encouragement for remarriage of widows through cash incentive,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Puducherry,Unknown,Unknown,None,No,Other,Widowed,Unknown,Other,Not Specified,UT,Puducherry
Kisan Credit Card (KCC),No,Yes,Credit card for purchasing inputs and drawing cash,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,All India,Unknown,Unknown,None,No,Other,All,Unknown,Self-Employed,Not Specified,Central,India
Integrated Sheep Development Scheme (ISDS),No,Yes,Income generation through sheep & goat farming,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Employment', 'Agriculture']",Employment,Jammu & Kashmir,Unknown,Unknown,None,No,Other,All,Unknown,Self-Employed,Not Specified,State,J&k
Educational Assistance to Children of Prisoners,Yes,Yes,Financial aid for prisoners’ children pursuing education,N/A,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Social Welfare', 'Education']",Social Welfare,Kerala,Unknown,Unknown,None,No,Scholarship,All,Unknown,Student,Not Specified,State,Kerala
Dayanand Bandodkar Scheme for Higher Education for Orphans,Yes,Yes,Full education support from UG to PG for orphans,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Unspecified,['Education'],Education,Goa,Unknown,Unknown,None,No,Scholarship,All,Unknown,Student,Not Specified,State,Goa
AICTE – Research Promotion Scheme (RPS),No,No,Grants to promote technical research in thrust areas,N/A,21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Unspecified,['Education'],Education,All India,Unknown,Unknown,None,No,Other,All,Unknown,Employed,Not Specified,Central,India
Safai Karmakar Prasuti Sahayata Yojana,Yes,Yes,Maternity aid for women sanitation workers,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Chhattisgarh,Unknown,Unknown,None,No,Composite / Multi,Married,Unknown,Other,Not Specified,State,Chhattisgarh
Delhi Arogya Nidhi,Yes,Yes,Health financial aid for treatment in govt hospitals,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Health'],Health,Delhi,Unknown,Unknown,None,No,Other,All,Unknown,Unemployed,Not Specified,UT,Delhi
Swarnajayanti Fellowships Scheme,No,No,Special fellowships for top researchers in S&T,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,Unknown,Unknown,None,No,Fellowship,All,Unknown,Employed,Not Specified,Central,India
Incubation Scheme,No,Yes,Incubation funding for MSMEs and innovation ideas,N/A,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,All India,Unknown,Unknown,None,No,Financial,All,Unknown,Self-Employed,Not Specified,Central,India
ARAVANAIPPU,Yes,Yes,Support for mothers and girl children post-birth,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Puducherry,Unknown,Unknown,None,No,Medical,Married,Unknown,Unemployed,Not Specified,UT,Puducherry
National Bamboo Mission,No,Yes,"Bamboo productivity, marketing, and entrepreneurship",N/A,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,All India,Unknown,Unknown,None,No,Other,All,Unknown,Self-Employed,Not Specified,Central,India
Reimbursement of Membership Fee in Govt E-Com Portals,Yes,Yes,E-commerce portal membership fee reimbursement,N/A,18,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,All India,No,No,None,No,Financial,All,Unknown,Self-Employed,Not Specified,Central,India
Pradhan Mantri Gram Sadak Yojana (PMGSY),No,Yes,Rural road connectivity for unconnected habitations,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Infrastructure'],Infrastructure,Rural,Unknown,Unknown,None,No,Other,All,Unknown,Other,Not Specified,Central,India
Revival & Rehabilitation Scheme for Defunct MSMEs and Cashew Units,No,Yes,Aid for revival of closed MSMEs and cashew processors,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Kerala,Unknown,Unknown,None,No,Financial,All,Unknown,Unemployed,Not Specified,State,Kerala
Financial Assistance for Petrol to Fishermen,Yes,Yes,Subsidy for petrol used in outboard motors by fishermen,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Goa,Unknown,Unknown,None,No,Subsidy,All,Unknown,Self-Employed,Not Specified,State,Goa
Financial Assistance for Outboard Motor (2–5 HP),No,Yes,Financial aid for motor purchase for fishing canoes,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Goa,Unknown,Unknown,None,No,Subsidy,All,Unknown,Self-Employed,Not Specified,State,Goa
Financial Assistance to Publishers,No,Yes,Aid to promote publication of Goan authors’ books,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Culture'],Culture,Goa,Unknown,Unknown,None,No,Financial,All,Unknown,Self-Employed,Not Specified,State,Goa
PEACE – Energy Training Programme,No,Yes,Energy efficiency training for MSMEs,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Tamil Nadu,Unknown,Unknown,None,No,Training,All,Unknown,Employed,Not Specified,State,Tamil Nadu
National Fellowship for SC Students (M.Phil./PhD),Yes,Yes,Financial aid to SC students for M.Phil. & PhD,N/A,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,Unknown,Unknown,None,No,Fellowship,All,Unknown,Student,Not Specified,Central,India
Indian Community Welfare Fund (ICWF),No,Yes,Assistance to distressed Indians abroad,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Abroad,Unknown,Unknown,PwD,Yes,Medical,All,Unknown,Other,Not Specified,Central,International
Saansad Adarsh Gram Yojana,No,Yes,MPs adopt villages for holistic development,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Rural,Unknown,Unknown,None,No,Other,All,Unknown,Other,Not Specified,Central,India
Tagore National Fellowship,No,No,Research opportunities in cultural institutions,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,Unknown,Unknown,None,No,Fellowship,All,Unknown,Employed,Not Specified,Central,India
Fellowship for Superannuated Faculty Members,No,No,Post-retirement research support for faculty,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,Unknown,Unknown,None,No,Fellowship,All,Unknown,Retired,Not Specified,Central,India
Indo-French Visiting/Mobility Programme for Women in Science,No,No,Collaborative research opportunity for women in science,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,Unknown,Unknown,None,No,Financial,All,Unknown,Employed,Not Specified,Bilateral,International
VAIBHAV Fellowship,No,No,Collaboration between Indian diaspora scientists and Indian institutions,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,Unknown,Unknown,None,No,Fellowship,All,Unknown,Employed,Not Specified,Central,India
AICTE-IDEA LAB Scheme,No,No,Labs to encourage STEM innovation,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Education', 'Infrastructure']",Education,All India,Unknown,Unknown,None,No,Financial,All,Unknown,Student,Not Specified,Central,India
Financial Assistance on Death/Disablement (CBOCWWB),Yes,Yes,Death/disability benefit for registered workers,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Chandigarh,Unknown,Unknown,General,Yes,Other,All,Unknown,Other,Not Specified,UT,Chandigarh
"MMKY – New Boat, Engine, and Net",Yes,Yes,Equipment purchase support for marine fishers,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Odisha,Unknown,Unknown,None,No,In Kind,All,Unknown,Self-Employed,Not Specified,State,Odisha
AICTE-Margdarshan Scheme,No,No,Mentoring scheme for technical institutions,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,Unknown,Unknown,None,No,Financial,All,Unknown,Employed,Not Specified,Central,India
Mahila Samman Savings Certificate,No,Yes,Financial security investment for girls and women,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,[],Other,All India,Unknown,Unknown,None,No,Other,All,Unknown,Self-Employed,Not Specified,Central,India
Death Benefit (A.B.O.C.W.W.B),Yes,Yes,Death benefit to dependents of registered workers,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Assam,Unknown,Unknown,None,No,Other,All,Unknown,Other,Not Specified,State,Assam
Vegetable Development Scheme,No,Yes,Support for vegetable farming and polyhouse use,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Meghalaya,Unknown,Unknown,None,No,Subsidy,All,Unknown,Self-Employed,Not Specified,State,Meghalaya
Free Distribution of Blankets and Chappals to Senior Citizen,No,Yes,Distribution of blankets & chappals to senior citizens,N/A,60,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Puducherry,Unknown,Unknown,None,No,Other,All,Yes,Retired,Offline,UT,Puducherry
Swami Vivekananda Nishakta Swavlamban Protsahan Yojana,Yes,Yes,Pension for differently abled aged 5+,N/A,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Jharkhand,Unknown,Unknown,Unspecified,Yes,Pension,All,Unknown,Disabled,Offline,State,Jharkhand
State Award for the Welfare of the Handicapped,No,No,Awards to PwD and related institutions on 3rd December,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Puducherry,Unknown,Unknown,Unspecified,Yes,Award,All,Unknown,Disabled,Offline,UT,Puducherry
Horticulture Mission for North Eastern Hill Scheme,No,Yes,Productivity and irrigation support for horticulture,N/A,16,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Meghalaya,Unknown,Unknown,None,No,Other,All,Unknown,Self-Employed,Offline,State,Meghalaya
Supply of Sarees and Dhoties to Differently Abled Persons,Yes,Yes,Festival welfare in the form of sarees/dhoties or DBT,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Puducherry,Unknown,Unknown,Unspecified,Yes,Other,All,Unknown,Disabled,Offline,UT,Puducherry
Post Harvest Marketing Scheme,No,Yes,Support for post-harvest infra and marketing,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Agriculture', 'Infrastructure']",Agriculture,Meghalaya,Unknown,Unknown,None,No,Other,All,Unknown,Self-Employed,Offline,State,Meghalaya
Supply of Prosthetic Appliances to Differently Abled Persons,No,Yes,Free prosthetics to minimize mobility challenges,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Disability', 'Health']",Disability,Puducherry,Unknown,Unknown,Unspecified,Yes,Other,All,Unknown,Disabled,Offline,UT,Puducherry
Regional Centre for Training and Production of Mushroom,No,Yes,Mushroom farming training + input support,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Skill Development', 'Agriculture']",Skill Development,Meghalaya,Unknown,Unknown,None,No,Training,All,Unknown,Self-Employed,Offline,State,Meghalaya
Agriculture Research Stations and Laboratories Scheme,No,Yes,Field research and trials for bio-pesticide adoption,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Agriculture', 'Education']",Agriculture,Meghalaya,Unknown,Unknown,None,No,Other,All,Unknown,Self-Employed,Offline,State,Meghalaya
Bhausaheb Fundkar Falbag Lagvad Scheme,Yes,Yes,Plantation support for perennial horticulture crops (0.10-10 ha),N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Maharashtra,Unknown,Unknown,None,No,Other,All,Unknown,Self-Employed,Offline,State,Maharashtra
Reimbursement of Educational Expenses to Hearing Impaired Students,Yes,Yes,Full fee reimbursement from 1st year of special education,N/A,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Disability', 'Education']",Disability,Puducherry,Unknown,Unknown,Unspecified,Yes,Composite / Multi,All,Unknown,Student,Offline,UT,Puducherry
Cash Award to Meritorious Visually Impaired Students,No,No,State rank-based awards for SSLC and HSC exam,N/A,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Disability', 'Education']",Disability,Puducherry,Unknown,Unknown,Unspecified,Yes,Composite / Multi,All,Unknown,Student,Offline,UT,Puducherry
Monthly Grant To Old Crafts Persons,Yes,Yes,Monthly pension for aged craftspeople,N/A,60,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Puducherry,Unknown,Unknown,Unknown,Unknown,Pension,All,Unknown,Retired,Offline,UT,Puducherry
Organic Manure Scheme,No,Yes,Village-level training in organic compost production,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Skill Development', 'Agriculture']",Skill Development,Meghalaya,Unknown,Unknown,None,No,Training,All,Unknown,Self-Employed,Offline,State,Meghalaya
Training in Coir (Coir Development Scheme),No,Yes,6-month coir production training for rural poor,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Puducherry,Unknown,Unknown,None,No,Training,All,Yes,Unemployed,Offline,UT,Puducherry
Agriculture Information Unit Scheme,No,No,"Public awareness using media, seminars & exhibitions",N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Meghalaya,Unknown,Unknown,None,No,Other,All,Unknown,Self-Employed,Offline,State,Meghalaya
National Award – Vayoshreshtha Samman,No,No,For best panchayat services to senior citizens,N/A,60,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,Unspecified,[],Other,All India,Unknown,Unknown,None,No,Award,All,Unknown,Other,Offline,National,India
Organizing/Participation in Exhibitions/Trade Fairs,No,Possibly,Promotion campaigns to boost Puducherry’s industry,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Puducherry,Unknown,Unknown,None,No,Other,All,No,Other,Offline,UT,Puducherry
Entrepreneurship Development Programme (Coir Scheme),No,Yes,Entrepreneurship & modern tech training in coir,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Puducherry,Unknown,Unknown,None,No,Training,All,Unknown,Self-Employed,Offline,UT,Puducherry
Grant to Silk Societies/Agency,No,Yes,Encourages silk artisans to form societies for cluster development,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Puducherry,Unknown,Unknown,None,No,Financial,All,Unknown,Self-Employed,Offline,UT,Puducherry
Grant of Margin Money for Coir Capital Loan,Yes,Yes,Margin money assistance for coir unit capital loans,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Puducherry,Unknown,Unknown,None,No,Loan,All,Unknown,Self-Employed,Offline,UT,Puducherry
A&N Allowance to Destitute Women,Yes,Yes,Monthly financial help to poorest women without support,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,Low Income,['Social Welfare'],Social Welfare,Andaman and Nicobar,Unknown,Unknown,Unknown,Unknown,Financial,Single,Yes,Unemployed,Offline,UT,Andaman And Nicobar
Sales Rebate (Handicrafts MSME),No,No,15% rebate to emporia/showrooms for promoting local MSME goods,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Puducherry,Unknown,Unknown,None,No,Other,All,No,Other,Offline,UT,Puducherry
A&N Old Age Assistance Scheme,Yes,Yes,Support for destitute elderly citizens with no financial support,N/A,60,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Andaman and Nicobar,Unknown,Unknown,None,No,Composite / Multi,All,Yes,Retired,Offline,UT,Andaman And Nicobar
Educational Assistance (MBOCWWB),Yes,No,Financial aid to children of registered construction workers,N/A,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Social Welfare', 'Education']",Social Welfare,Meghalaya,Unknown,Unknown,None,No,Scholarship,All,Unknown,Student,Offline,State,Meghalaya
